Pos,Num,name,Equipe,gender,Cat,Por Categoria,TOP 100,KM10,"KM21,1","KM 26,2",KM 30,"KM 34,2",time,Tempo Bruto,Vel.Média
585,11061,RICARDO JOSE CORREA,ZTRACK,Masculino,VET1M,59,,0:49:19,1:44:11,2:10:12,2:29:18,2:50:05,3:32:10,3:37:34,"11,93"
586,10769,GEOVANI ALVES DA SILVA,NOTENHO,Masculino,PRE-VETM,251,,0:47:36,1:42:12,2:08:11,2:27:30,2:48:55,3:32:10,3:32:51,"11,93"
587,11009,PAULO DE TARSO NERI,VALDIR CAMARGO - EVC,Masculino,VET1M,60,,0:47:49,1:41:07,2:05:59,2:24:36,2:45:38,3:32:11,3:36:33,"11,93"
588,11577,ELTON SANTUCCI DE OLIVEIRA,SEM FINGIMENTO,Masculino,MASTM,204,,0:45:31,1:37:09,2:02:40,,2:45:49,3:32:12,3:35:11,"11,93"
589,11454,DANIEL SANTANA DA SILVA,AVULSO,Masculino,PRE-VETM,252,,0:50:11,1:45:01,2:11:18,2:30:14,2:50:27,3:32:12,3:35:25,"11,93"
590,10915,LUCIANO PEREIRA RAMOS,,Masculino,MASTM,205,,0:39:49,1:27:12,1:49:58,2:08:09,2:41:14,3:32:17,3:32:31,"11,93"
591,11979,LUCIANO VILELA,SEM EQUIPE,Masculino,MASTM,206,,0:49:30,1:44:41,2:10:35,2:30:05,2:50:06,3:32:18,3:35:23,"11,93"
592,10607,CASSIO FELIPE,,Masculino,PRE-VETM,253,,0:49:37,1:44:30,2:10:26,2:29:27,2:49:53,3:32:19,3:39:04,"11,93"
593,11658,FERNANDA SILVA,AB,Feminino,MASTF,7,TOP 100,,1:47:31,2:12:56,2:31:40,2:51:38,3:32:21,3:32:21,"11,92"
594,14046,BRUNO HENRIQUE SANTAROSA LEMES,,Masculino,MASTM,207,,0:49:39,1:44:43,2:10:59,2:30:01,2:50:30,3:32:21,3:54:30,"11,92"
595,10689,ELDER DOS SANTOS BISPO,,Masculino,MASTM,208,,0:47:18,1:39:20,2:04:50,2:23:01,2:43:38,3:32:22,3:33:13,"11,92"
596,11223,AGNALDO CARVALHO OLIVEIRA JUNIOR,JZRUNNERS,Masculino,ADULM,35,,,1:42:01,2:07:19,2:26:12,2:47:17,3:32:27,3:32:27,"11,92"
597,12398,SWARA FERRAZ DE SA BARRETO,,Feminino,PRE-VETF,8,TOP 100,0:47:46,1:42:22,2:08:22,2:27:11,2:47:52,3:32:33,3:34:44,"11,91"
598,11748,HENRIQUE GONCALVES COELHO,,Masculino,PRE-VETM,254,,0:50:08,1:43:54,2:09:44,2:28:43,2:49:24,3:32:37,3:34:23,"11,91"
599,14063,CARLOS ALBERTO GUILHERME,PQVOA,Masculino,VET1M,61,,0:49:08,1:45:00,2:11:55,2:31:15,2:51:50,3:32:42,3:44:25,"11,90"
600,12630,ANNA MATTOS KAUFFMANN,,Feminino,MASTF,8,TOP 100,0:49:15,1:43:32,2:09:49,2:29:04,2:49:52,3:32:46,3:36:10,"11,90"
601,12352,ROSAN FELIPE DOS SANTOS,KESPORTES,Masculino,MASTM,209,,0:49:08,1:43:59,2:09:39,2:28:11,2:49:02,3:32:47,3:33:42,"11,90"
602,10611,CESAR CARNEIRO ROCHA,BCM,Masculino,PRE-VETM,255,,0:49:32,1:42:35,2:08:54,2:27:46,2:49:15,3:32:49,3:33:33,"11,90"
603,11916,LAUDI LAURENTINO,MBPERSONALTRAINERS,Feminino,MASTF,9,TOP 100,0:51:17,1:46:24,2:11:59,2:30:51,2:51:33,3:32:52,3:37:19,"11,89"
604,14876,RODOLFO DE PAULA,,Masculino,MASTM,210,,0:49:59,1:42:52,2:08:22,2:27:12,2:48:15,3:32:56,3:34:46,"11,89"
605,11644,FELIPE CASSIANO E SILVA,,Masculino,MASTM,211,,0:51:10,1:45:40,2:11:43,2:31:05,2:51:49,3:32:58,3:34:57,"11,89"
606,13421,MARCOS ALVES BRANDAO,ULTRABRANDO,Masculino,PRE-VETM,256,,0:47:27,1:39:36,2:04:52,2:23:32,2:45:29,3:33:05,3:45:41,"11,88"
607,12526,AIRTON BARROS CAVALCANTE,,Masculino,VET2M,6,,0:49:15,1:43:26,2:09:12,2:28:03,2:48:46,3:33:05,3:33:11,"11,88"
608,11216,ADRIANO DAMASCENO TELLES,PRAQUEISSO ASSESSORIA ESPORTIVA,Masculino,MASTM,212,,0:50:49,1:45:45,2:11:50,2:30:51,2:51:16,3:33:08,3:37:28,"11,88"
609,11553,EDUARDO SIQUEIRA SOUSA,AVULSO,Masculino,PRE-VETM,257,,0:49:26,1:43:29,2:08:29,2:27:19,2:48:24,3:33:09,3:36:45,"11,88"
610,11697,GENIVAL DE SOUZA PEREIRA,,Masculino,VET1M,62,,0:49:39,1:45:23,2:11:38,2:30:30,2:52:19,3:33:09,3:37:21,"11,88"
611,10589,BRUNO GARCIA POLETO,,Masculino,ADULM,36,,0:43:47,1:35:31,2:01:43,2:20:40,2:45:43,3:33:13,3:33:22,"11,87"
612,13824,VANESSA HAAS,,Feminino,MASTF,10,TOP 100,0:49:26,1:43:37,2:09:47,2:28:57,2:49:49,3:33:14,3:48:49,"11,87"
613,11704,GILBERTO FRANCISCO DE ALMEIDA,ELAINE DE CASSIA BENEDITO,Masculino,PRE-VETM,258,,0:44:08,1:34:21,2:00:04,2:19:47,2:42:27,3:33:14,3:34:55,"11,87"
614,13680,RODRIGO DA SILVA ALVES,NOIS BEBE MAIS CORRE,Masculino,MASTM,213,,0:50:15,1:44:03,2:09:20,2:27:53,2:47:48,3:33:15,3:45:28,"11,87"
615,10786,GUSTAVO GUEDES ROCHA,,Masculino,PRE-VETM,259,,0:49:08,1:43:59,2:09:39,2:28:04,2:48:24,3:33:19,3:48:42,"11,87"
616,11684,FRANCISCO LUCIANO,,Masculino,MASTM,214,,0:49:08,1:43:59,2:09:32,2:28:06,2:48:30,3:33:20,3:48:42,"11,87"
617,11185,RENATO SILVA MEDEIROS,0,Masculino,PRE-VETM,260,,0:50:34,1:45:03,2:11:13,2:30:08,2:50:41,3:33:20,3:36:35,"11,87"
618,11051,REMY MELLERO,,Masculino,VET1M,63,,0:46:47,1:39:31,2:05:03,2:23:54,2:45:14,3:33:27,3:33:44,"11,86"
619,11231,ALBERTO FARES AKEL JUNIOR,MANUEL CORREDOR,Masculino,MASTM,215,,0:50:44,1:45:41,2:12:02,2:31:07,2:51:38,3:33:28,3:36:26,"11,86"
620,14090,CESAR BASTIDAS MARTINEZ,AVULSO,Masculino,VET2M,7,,0:51:14,1:46:49,2:13:26,2:32:34,2:52:52,3:33:33,3:55:26,"11,86"
621,11038,RAMSES,,Masculino,PRE-VETM,261,,0:49:23,1:42:35,2:08:44,2:28:19,2:49:58,3:33:34,4:06:47,"11,85"
622,11699,GERSON VASCONCELOS BULOS NETO,,Masculino,MASTM,216,,0:48:25,1:43:47,2:13:04,2:31:22,2:51:19,3:33:35,3:35:59,"11,85"
623,11606,EVILAZIO FIGUEIREDO ALVES,NENHUMA,Masculino,VET1M,64,,0:45:30,1:36:33,2:02:17,2:21:48,2:44:13,3:33:38,3:36:17,"11,85"
624,15194,CICERO FRANCISCO DE AMORIM,,Masculino,PRE-VETM,262,,0:50:48,1:43:23,2:07:41,2:26:23,2:45:40,3:33:40,4:02:14,"11,85"
625,11637,FABRICIO ABDO SILVA,ABDOTEAM,Masculino,PRE-VETM,263,,0:49:32,1:44:21,2:11:09,2:31:01,2:51:53,3:33:41,3:40:45,"11,85"
626,11214,ADRIANO CRUZ,CCM,Masculino,PRE-VETM,264,,0:50:05,1:44:31,2:10:35,2:29:41,2:50:36,3:33:45,3:38:07,"11,85"
627,12161,NELSON FONARI PALMA,MOISESTEDESCHIASSESSORIAESPORTIVA,Masculino,PRE-VETM,265,,0:49:31,1:44:09,2:10:26,2:29:55,2:51:02,3:33:46,3:37:53,"11,84"
628,12246,RAYAN SANTOS,ARTURALMEIDATEAM,Masculino,ADULM,37,,0:50:25,1:47:36,2:13:51,2:32:48,2:53:10,3:33:47,3:46:02,"11,84"
629,12063,MARCOS ALVES,,Masculino,PRE-VETM,266,,0:51:14,1:48:14,2:12:53,2:30:45,2:50:34,3:33:51,3:37:19,"11,84"
630,10715,EVANGIVALDO BATISTA DA SILVA,LAVANDERIA SPEEDY,Masculino,VET1M,65,,0:46:19,1:39:09,2:05:04,2:24:13,2:45:34,3:33:52,3:36:09,"11,84"
631,13184,JOAO MARCO BRAGA,,Masculino,MASTM,217,,0:51:39,1:48:23,2:14:41,2:33:43,2:54:00,3:33:53,3:49:28,"11,84"
632,11537,EDUARDO BARBOSA,,Masculino,PRE-VETM,267,,0:49:43,1:43:25,2:09:32,2:28:29,2:49:22,3:33:53,3:36:05,"11,84"
633,13116,HEITOR PAULO LAERTE SOLA,SOLA,Masculino,PRE-VETM,268,,0:51:15,1:44:59,2:10:45,2:29:45,2:50:07,3:33:55,3:49:09,"11,84"
634,11555,EDUARDO SOARES DA SILVA,,Masculino,PRE-VETM,269,,0:49:45,1:43:55,2:10:02,2:29:21,2:50:26,3:33:55,3:36:46,"11,84"
635,12313,RODRIGO DE OLIVEIRA SOARES,TEAMREMANZATTO,Masculino,PRE-VETM,270,,0:46:42,1:39:09,2:05:42,2:25:48,2:48:34,3:33:58,3:37:35,"11,83"
636,12201,PAULO MULLER,ADIDAS,Masculino,PRE-VETM,271,,0:49:27,1:42:21,2:08:05,2:26:57,2:48:18,3:34:02,3:37:26,"11,83"
637,13978,ANDERSON JOSE CORREIA,,Masculino,PRE-VETM,272,,0:51:06,1:45:07,2:11:15,2:30:26,2:51:47,3:34:04,3:56:10,"11,83"
638,11173,WILLIAN DE OLIVEIRA SILVA,,Masculino,PRE-VETM,273,,0:44:01,1:35:12,2:01:42,2:21:24,2:44:41,3:34:07,3:34:19,"11,82"
639,91,ANDRE PASCHOALINI BERALDINO,,Masculino,ELITEM,5,,0:43:31,1:33:20,1:59:29,2:19:59,2:43:42,3:34:09,3:35:21,"11,82"
640,12227,RACHED CAVALCANTI,,Masculino,MASTM,218,,0:52:38,1:49:25,2:15:59,2:34:36,2:54:02,3:34:09,3:36:15,"11,82"
641,10654,DIEGO RIBEIRO DOS SANTOS OLIVEIRA,ABUJA RUN CLUB/JOSE LUIS MARQUES,Masculino,MASTM,219,,0:44:01,1:33:32,1:58:30,2:18:09,2:43:53,3:34:11,3:34:46,"11,82"
642,12167,NICHOLAS DECARIA DE MELLO ALVES,,Masculino,MASTM,220,,0:51:24,1:47:03,2:12:48,2:31:46,2:52:12,3:34:16,3:37:12,"11,82"
643,10627,CRISTIANO ANTUNES MEDEIROS DE SOUZA,,Masculino,PRE-VETM,274,,0:48:41,1:43:13,2:08:46,2:27:49,2:49:01,3:34:17,3:35:37,"11,81"
644,11601,EVANDRO PINTO,,Masculino,PRE-VETM,275,,0:49:59,1:44:22,2:10:16,2:29:37,2:50:34,3:34:21,3:37:41,"11,81"
645,11825,JOAQUIM DE SOUSA PINA,JOAQUIM DE SOUSA PINA,Masculino,VET1M,66,,0:46:07,1:37:50,2:03:24,2:22:37,2:44:36,3:34:21,3:35:49,"11,81"
646,11762,IGOR VIDAL DA SILVA,CANAL CORRE GAROTA!,Masculino,MASTM,221,,0:50:00,1:44:06,2:10:49,2:31:03,2:51:36,3:34:24,3:36:46,"11,81"
647,11229,AKIRA ITO,FIT4LIFE,Masculino,PRE-VETM,276,,0:49:35,1:44:07,2:09:54,2:29:04,2:49:46,3:34:25,3:36:42,"11,81"
648,12181,OSWALDO DOS SANTOS PARIS PARIS,MEVILELA,Masculino,VET1M,67,,0:49:35,1:44:07,2:10:04,2:29:04,2:49:49,3:34:26,3:36:44,"11,81"
649,13474,MAURICIO SESTARI ARGENTO,,Masculino,MASTM,222,,0:51:57,1:46:42,2:12:51,2:31:44,2:52:02,3:34:28,3:46:57,"11,80"
650,13129,HERIC PIERIN GASPAR,,Masculino,PRE-VETM,277,,0:51:57,1:46:42,2:12:52,2:31:45,2:52:02,3:34:28,3:46:56,"11,80"
651,11914,LAERCIO POLI NOGOCEKE,,Masculino,MASTM,223,,0:49:25,1:44:14,2:10:42,2:30:05,2:51:25,3:34:29,3:42:37,"11,80"
652,14931,SERGIO AUGUSTO DIAS,,Masculino,PRE-VETM,278,,0:54:26,1:47:15,2:15:00,2:32:45,2:52:19,3:34:33,3:58:16,"11,80"
653,13834,VINICIUS BOTELHO,ABELV RUN,Masculino,PRE-VETM,279,,0:49:06,1:45:30,2:10:53,2:29:24,2:49:14,3:34:38,3:48:26,"11,80"
654,12251,REINALDO SILVA DE OLIVEIRA,,Masculino,PRE-VETM,280,,0:51:36,1:47:11,2:13:08,2:32:12,2:52:43,3:34:41,3:46:45,"11,79"
655,11138,VALERIA RODRIGUES ZAMPERLINI ALONSO,,Feminino,MASTF,11,TOP 100,0:48:07,1:42:42,2:08:49,2:28:05,2:49:30,3:34:42,3:35:08,"11,79"
656,13863,WELLINGTON TEIXEIRA MOGGI,FMAOSCAVEIRAS,Masculino,PRE-VETM,281,,0:47:58,1:41:05,2:06:44,2:25:37,2:47:07,3:34:43,3:47:05,"11,79"
657,14656,MARCIO RIBEIRO DA SILVA,ADALTOAMIGOS,Masculino,PRE-VETM,282,,0:52:14,1:48:37,2:15:14,2:34:44,2:55:27,3:34:43,3:57:46,"11,79"
658,11713,GLAUBER CAMPACCI PAVAN,,Masculino,MASTM,224,,0:49:36,1:41:38,2:06:40,2:25:41,2:47:04,3:34:44,3:46:57,"11,79"
659,11715,GLEICIVALDO NUNES SANTOS SODRE,,Masculino,MASTM,225,,0:48:14,1:40:54,2:06:00,2:24:30,2:46:19,3:34:47,3:36:07,"11,79"
660,12346,RONALDO ALVES DE FREITAS,MELQUIADESRUNNING,Masculino,VET1M,68,,0:51:51,1:47:15,2:12:54,2:31:57,2:52:54,3:34:48,3:39:27,"11,79"
661,13797,THIAGO ORNELAS RODRIGUES DOS SANTOS,CORRE D+,Masculino,MASTM,226,,0:50:40,1:44:12,2:10:37,2:31:03,2:52:15,3:34:51,3:51:42,"11,78"
662,10832,JOAO SILVA DE SOUSA,GOBIRUN,Masculino,VET1M,69,,0:47:24,1:40:15,2:06:26,2:25:57,2:47:17,3:34:52,3:35:19,"11,78"
663,10799,IGOR CALIXTO,,Masculino,MASTM,227,,0:47:10,1:39:56,2:06:27,2:25:37,2:47:42,3:34:55,3:35:48,"11,78"
664,11201,AARON HILDEBRAND,,Masculino,MASTM,228,,0:51:00,1:44:45,2:10:19,2:28:55,2:49:25,3:34:55,3:40:17,"11,78"
665,11067,RICARDO PEREIRA DA SILVA,,Masculino,VET1M,70,,0:47:19,1:40:00,2:07:03,2:26:38,2:48:47,3:34:57,3:36:05,"11,78"
666,11976,LUCIANO MOTA LOPES,,Masculino,PRE-VETM,283,,0:50:45,1:44:02,2:10:21,2:29:53,2:50:57,3:35:00,3:38:10,"11,78"
667,11504,DOMENICO KULAIF DE AGOSTINHO,,Masculino,PRE-VETM,284,,0:49:36,1:44:11,2:10:36,2:29:01,2:49:50,3:35:01,3:38:52,"11,77"
668,12779,DANIEL CRITCHI,,Masculino,PRE-VETM,285,,0:49:38,1:44:45,2:11:18,2:30:24,2:51:35,3:35:04,3:46:40,"11,77"
669,11459,DANILLO D,DOLCI,Masculino,MASTM,229,,0:51:38,1:46:40,2:12:58,2:32:10,2:52:56,3:35:06,3:39:47,"11,77"
670,14783,PAULO TIAGO KOJI YAMAGUTI,BOLARUNNING,Masculino,MASTM,230,,0:50:38,1:43:49,2:09:42,2:29:06,2:50:34,3:35:11,3:37:47,"11,77"
671,10890,LEONARDO LONGO VENDRAMIN,PEGASUS RUN,Masculino,PRE-VETM,286,,0:48:39,1:44:33,2:12:02,2:30:54,2:52:10,3:35:14,3:36:12,"11,76"
672,10740,FERNANDO BELMONTE DE SOUZA,,Masculino,MASTM,231,,0:52:56,1:57:23,2:20:52,2:38:05,2:56:13,3:35:16,3:36:23,"11,76"
673,11362,CAIO BEIRAM,CAIO BEIRAM,Masculino,MASTM,232,,0:47:49,1:41:21,2:07:50,2:27:47,2:49:40,3:35:17,3:38:14,"11,76"
674,11590,ERIK ALVES BISPO,ERIK ALVES,Masculino,MASTM,233,,0:50:29,1:47:31,2:14:31,2:33:44,2:54:12,3:35:18,3:37:19,"11,76"
675,10959,MARIA DAS GRACAS DE OLIVEIRA,,Feminino,PRE-VETF,9,TOP 100,0:49:09,1:45:37,2:13:37,2:33:06,2:53:47,3:35:19,3:35:30,"11,76"
676,11345,BRUNA CAROLINE DA SILVA LEME MORAES,ROBSON ROSA ASSESSORIA ESPORTIVA,Feminino,ADULF,4,TOP 100,0:51:08,1:46:43,2:13:13,2:32:20,2:53:03,3:35:20,3:37:31,"11,76"
677,11587,ERICA BERTEVELLO,,Feminino,PRE-VETF,10,TOP 100,0:50:46,1:46:57,2:13:36,2:32:56,2:53:51,3:35:25,3:37:30,"11,75"
678,16032,YURI PAIM DE FIGUEIREDO,,Masculino,PRE-VETM,287,,0:50:41,1:48:07,2:14:27,2:33:34,2:54:06,3:35:26,3:38:47,"11,75"
679,11309,ANGELO MARINUCCI,,Masculino,PRE-VETM,288,,0:49:43,1:43:27,2:09:41,2:28:47,2:49:40,3:35:27,3:39:26,"11,75"
680,10763,GABRIEL DEL BIANCO DE LIMA,LOBO,Masculino,ADULM,38,,0:49:55,1:45:28,2:11:40,2:30:58,2:51:45,3:35:31,3:35:53,"11,75"
681,12480,VINICIUS PEREIRA DA SILVA,AVULSO,Masculino,PRE-VETM,289,,0:46:41,1:40:04,2:06:58,2:27:17,2:50:00,3:35:31,3:38:41,"11,75"
682,13699,ROGERIO MEIRELES FRANCO,,Masculino,PRE-VETM,290,,0:49:35,1:45:24,2:12:09,2:31:18,2:52:04,3:35:34,3:51:06,"11,74"
683,10821,JOAO DELGADO,GRAE TEAM,Masculino,ADULM,39,,0:47:36,1:41:42,2:07:29,2:26:47,2:48:38,3:35:35,3:35:57,"11,74"
684,12788,DANIEL SILVA DE OLIVEIRA,,Masculino,MASTM,234,,0:49:49,1:45:03,2:10:49,2:30:00,2:51:03,3:35:38,3:51:12,"11,74"
685,11544,EDUARDO FREDERICO BARREIROS DA COSTA,ADRENALINA,Masculino,MASTM,235,,0:51:08,1:47:45,2:14:37,2:33:56,2:54:26,3:35:38,3:40:24,"11,74"
686,13661,ROBERT MAMEDE SOARES,,Masculino,ADULM,40,,0:51:08,1:46:25,2:12:20,2:30:58,2:51:30,3:35:39,3:49:28,"11,74"
687,12321,RODRIGO LUIS DA SILVA BROSCO,,Masculino,MASTM,236,,0:50:59,1:44:55,2:11:38,2:31:16,2:52:39,3:35:39,3:37:16,"11,74"
688,10686,EDVALDO AP ARRUDA PEREIRA,GALERA DA CORRIDA,Masculino,MASTM,237,,0:52:15,1:50:03,2:15:56,2:34:11,2:54:15,3:35:40,3:37:03,"11,74"
689,12781,DANIEL DAVANZO,,Masculino,ADULM,41,,0:51:17,1:47:01,2:13:44,2:32:20,2:53:24,3:35:41,3:50:18,"11,74"
690,10708,ERINALDO SOARES DOS SANTOS,METRUS-EAMSP,Masculino,PRE-VETM,291,,0:50:50,1:46:44,2:13:39,2:32:31,2:52:36,3:35:42,3:36:31,"11,74"
691,11117,THAIS SANT ANA,,Feminino,MASTF,12,TOP 100,0:50:03,1:46:03,2:12:38,2:31:56,2:52:59,3:35:44,3:37:14,"11,74"
692,12957,FABIANO AUGUSTO FELIPPE COTRIM,RUNNINGFORLIFE - MATAO,Masculino,PRE-VETM,292,,0:50:40,1:44:43,2:10:50,2:30:11,2:51:29,3:35:45,3:47:55,"11,73"
693,12306,RODOLFO MOURA,,Masculino,MASTM,238,,0:49:35,1:45:46,2:11:57,2:31:21,2:52:57,3:35:48,3:39:43,"11,73"
694,12205,PAULO SERGIO DOS SANTOS,IRON LIFE ASSESSORIA ESPORTIVA,Masculino,PRE-VETM,293,,0:51:32,1:46:45,2:12:17,2:31:16,2:52:05,3:35:54,3:40:05,"11,73"
695,11947,LOREDI DE PINA JUNIOR,,Masculino,MASTM,239,,0:47:14,1:39:40,2:04:59,2:23:52,2:44:42,3:35:56,3:38:16,"11,73"
696,11059,RICARDO DO AMARAL SILVA,SUPERATIS,Masculino,MASTM,240,,0:45:14,1:36:26,2:03:36,2:24:32,2:48:12,3:35:57,3:36:57,"11,72"
697,14571,LUCAS RODRIGUES DEL PORTO,,Masculino,MASTM,241,,0:49:33,1:45:28,2:12:09,2:31:34,2:52:44,3:36:02,3:38:33,"11,72"
698,10714,EVANDRO PEDROZO,PE NAS COSTAS,Masculino,MASTM,242,,0:51:08,1:45:42,2:12:05,2:30:56,2:51:50,3:36:04,3:57:44,"11,72"
699,12475,VICTOR ZABAN BITTENCOURT,TRIBUS ADVENTURE,Masculino,ADULM,42,,0:52:20,1:50:03,2:15:50,2:36:16,2:56:13,3:36:07,3:41:02,"11,72"
700,14974,THIAGO LUIS,,Masculino,MASTM,243,,0:51:56,1:47:00,2:12:30,2:30:55,2:51:22,3:36:15,4:01:47,"11,71"
701,11909,KLAUS MOURA,KMR,Masculino,PRE-VETM,294,,0:49:47,1:43:58,2:10:38,2:30:45,2:52:44,3:36:18,3:38:48,"11,70"
702,13126,HENRIQUE RODRIGUES,,Masculino,PRE-VETM,295,,0:51:29,1:49:41,2:16:36,2:35:45,2:56:05,3:36:19,3:47:52,"11,70"
703,10826,JOAO LUIZ DE OLIVEIRA NASCIMENTO,TRILOPEZ / PAULISTA FLATS IMOB.,Masculino,PRE-VETM,296,,0:50:45,1:45:56,2:12:19,2:31:55,2:53:36,3:36:19,3:37:35,"11,70"
704,12030,MARCELO HENRIQUE BARBOSA,,Masculino,MASTM,244,,0:48:49,1:41:52,2:06:59,2:25:15,2:46:05,3:36:25,3:39:03,"11,70"
705,13248,JULIAN THOMAS,,Masculino,VET2M,8,,0:52:18,1:47:42,2:13:51,2:33:05,2:54:04,3:36:25,3:50:10,"11,70"
706,12417,THIAGO HENRIQUE DA SILVA DIAS,GALERA DA CORRIDA,Masculino,MASTM,245,,0:53:51,1:47:44,2:13:00,2:31:38,2:52:14,3:36:33,3:40:26,"11,69"
707,12038,MARCELO PEREIRA TEIXEIRA,,Masculino,PRE-VETM,297,,0:50:38,1:45:59,2:12:17,2:31:49,2:52:54,3:36:38,3:37:52,"11,69"
708,12457,VANDER ANDREAZZI,LOBO ASSESSORIA,Masculino,PRE-VETM,298,,,1:42:20,2:09:49,2:30:00,2:51:57,3:36:40,3:36:40,"11,68"
709,10666,EDILMA SOUZA LIMA,GUERREIROA DA ILHA,Feminino,PRE-VETF,11,TOP 100,0:48:22,1:42:19,2:09:48,2:30:19,2:53:15,3:36:40,3:36:50,"11,68"
710,13584,RAFAEL LOPES GONCALVES DIAS,,Masculino,PRE-VETM,299,,0:50:15,1:46:37,2:12:52,2:31:57,2:53:27,3:36:41,3:48:12,"11,68"
711,11509,DOUGLAS GARCIA DOS SANTOS,FISIO&SPORTS,Masculino,MASTM,246,,0:53:13,1:48:51,2:14:52,2:33:33,2:53:46,3:36:46,3:40:49,"11,68"
712,11387,CARLOS MARTINS,,Masculino,MASTM,247,,0:50:14,1:43:23,2:09:59,2:29:57,2:52:09,3:36:50,3:39:38,"11,68"
713,12542,ALEX SANDRO TIBERIO SANTOS,,Masculino,MASTM,248,,0:52:04,1:47:19,2:13:09,2:32:09,2:52:59,3:36:51,3:37:48,"11,68"
714,10643,DAVID RIBEIRO COSTA,CARBON FIT/ DAVID RIBEIRO ASSESSORIA,Masculino,MASTM,249,,0:47:28,1:40:56,2:07:29,2:27:23,2:49:12,3:36:52,3:37:18,"11,67"
715,13774,TARKLEI FREITAS,,Masculino,PRE-VETM,300,,0:51:30,1:45:51,2:11:22,2:30:31,2:51:30,3:36:53,3:50:13,"11,67"
716,11937,LEONARDO FERREIRA OZORIO,NEVER STOP,Masculino,PRE-VETM,301,,0:50:43,1:46:59,2:13:31,2:32:55,2:53:57,3:36:53,3:40:12,"11,67"
717,11332,ARNALDO CORDEIRO SILVA JUNIOR,SOZINHO,Masculino,MASTM,250,,0:51:29,1:47:31,2:14:09,2:33:17,2:54:15,3:36:57,3:41:17,"11,67"
718,11543,EDUARDO DOS SANTOS MIRANDA,NEA,Masculino,PRE-VETM,302,,0:49:41,1:45:02,2:11:49,2:31:14,2:52:43,3:36:59,4:00:35,"11,67"
719,10547,ANALICE SAVANINI,,Feminino,PRE-VETF,12,TOP 100,0:46:32,1:42:22,2:09:59,2:29:57,2:52:08,3:36:59,3:37:15,"11,67"
720,12715,CASSIO JOSE DE JESUS,,Masculino,PRE-VETM,303,,0:51:40,1:48:10,2:15:08,2:34:34,2:55:42,3:36:59,3:49:56,"11,67"
721,12654,AUGUSTO MAZZONI PIERZYNSKI,REATIVESPORTS,Masculino,PRE-VETM,304,,0:50:45,1:46:01,2:12:32,2:32:14,2:53:22,3:37:10,3:51:59,"11,66"
722,10750,FERNANDO SANTANA MENDES,,Masculino,MASTM,251,,0:48:29,1:42:55,2:09:00,2:29:07,2:50:45,3:37:12,3:39:16,"11,66"
723,11265,AMADEUS GONCALVES,,Masculino,PRE-VETM,305,,0:48:09,1:45:02,2:10:35,2:30:29,2:51:51,3:37:13,3:38:07,"11,66"
724,10862,JUCELIO DOS SANTOS,,Masculino,PRE-VETM,306,,0:48:10,1:45:03,2:10:45,2:30:30,2:51:56,3:37:15,3:38:08,"11,65"
725,12673,BRUNO GONCALVES CARCELES,,Masculino,MASTM,252,,0:47:05,1:41:20,2:09:11,2:29:24,2:51:15,3:37:17,3:54:19,"11,65"
726,12114,MATHEUS NERY VAZ DOMINGUES,,Masculino,ADULM,43,,0:52:02,1:46:38,2:13:20,2:31:53,2:53:20,3:37:17,3:40:20,"11,65"
727,11542,EDUARDO DE SOUZA PERES,GPORT,Masculino,VET1M,71,,0:52:31,1:47:01,2:14:05,2:33:25,2:54:32,3:37:28,3:53:14,"11,64"
728,10878,LEANDRO CORTE QUEIROZ DE CARVALHO,,Masculino,MASTM,253,,0:43:32,1:33:38,2:01:08,2:21:52,2:46:57,3:37:30,3:37:48,"11,64"
729,11523,EDMILSON GOMES DA SILVA,AVULSO,Masculino,MASTM,254,,0:50:46,1:46:12,2:12:41,2:31:42,2:52:21,3:37:32,3:41:28,"11,64"
730,13634,RENATO PASSARELLI TONHATI,FUNSPORTS,Masculino,PRE-VETM,307,,0:51:07,1:48:11,2:14:48,2:34:18,2:55:23,3:37:33,3:55:03,"11,64"
731,11001,OSVALDO TCHAIKOVSKI JUNIOR,BLESS RUNNING,Masculino,PRE-VETM,308,,0:45:45,1:38:37,2:04:23,2:24:29,2:46:52,3:37:37,3:37:55,"11,63"
732,11648,FELIPE MEDINA PAES RANGEL,NORMALPRAGENTE,Masculino,PRE-VETM,309,,0:49:15,1:44:28,2:10:49,2:30:10,2:52:33,3:37:39,3:38:42,"11,63"
733,13576,RAFAEL DE ALBUQUERQUE FIAMENGHI,,Masculino,MASTM,255,,0:51:30,1:46:24,2:13:25,2:33:14,2:53:41,3:37:41,4:00:19,"11,63"
734,14611,LUIZ PAULO RODRIGUES GOMES OLINDA,,Masculino,MASTM,256,,0:51:28,1:47:46,2:15:20,2:34:17,2:54:46,3:37:45,3:49:27,"11,63"
735,16039,CRISTIANO DE FREITAS MOURA,FIT4LIFE,Masculino,PRE-VETM,310,,0:50:15,1:47:27,2:14:19,2:33:51,2:53:59,3:37:46,3:41:21,"11,63"
736,118,MARCUS FREIRE,,Masculino,DMS,2,,0:48:05,1:39:52,2:06:18,2:26:18,2:48:46,3:37:48,3:37:52,"11,62"
737,12332,ROGERIO COSTA DE SOUZA,,Masculino,PRE-VETM,311,,0:47:39,1:39:44,2:04:39,2:23:16,2:44:36,3:37:52,3:40:28,"11,62"
