Pos,Num,name,Equipe,gender,Cat,Por Categoria,TOP 100,KM10,"KM21,1","KM 26,2",KM 30,"KM 34,2",time,Tempo Bruto,Vel.Média
33,10851,JOSE FELIPE,,Masculino,VET1M,2,TOP 100,0:39:49,1:23:56,1:45:15,2:00:23,2:16:40,2:50:39,2:50:41,"14,84"
34,11021,PHILIP DE SIMONE,,Masculino,ADULM,3,TOP 100,0:41:14,1:25:18,1:45:41,2:00:53,2:17:22,2:51:26,2:53:06,"14,77"
35,10550,ANDERSON JOSE ALEIXO,FALCAO PEREGRINO,Masculino,PRE-VETM,16,TOP 100,0:39:26,1:24:14,1:45:32,2:01:00,2:17:26,2:51:33,2:51:51,"14,76"
36,10961,MARILDO JOSE BARDUCO,,Masculino,PRE-VETM,17,TOP 100,0:37:13,1:21:30,1:42:34,1:57:54,2:15:52,2:51:34,2:51:44,"14,76"
37,11554,EDUARDO SIROTO DANGELO,LUDIAS,Masculino,MASTM,8,TOP 100,0:40:12,1:24:08,1:45:07,2:00:20,2:16:31,2:51:49,2:52:31,"14,74"
38,10647,DEIVISON CESAR SILVA GONCALVES,,Masculino,MASTM,9,TOP 100,0:42:32,1:27:42,1:48:53,2:03:50,2:19:50,2:52:26,2:52:37,"14,68"
39,11758,HUGO SOUSA ALVES DE ALMEIDA,,Masculino,MASTM,10,TOP 100,0:40:06,1:23:31,1:44:28,1:59:58,2:17:03,2:52:27,2:57:33,"14,68"
40,10770,GERSON DE SOUZA DOS REIS,,Masculino,PRE-VETM,18,TOP 100,0:36:46,1:18:43,1:39:33,1:55:12,2:12:39,2:52:30,2:52:36,"14,68"
41,10894,LEONARDO SOUSA SANTOS,S2 ASSESSORIA ESPORTIVA,Masculino,MASTM,11,TOP 100,0:39:05,1:22:45,1:43:27,1:58:52,2:16:16,2:52:31,2:52:38,"14,68"
42,10525,ALDO CARLOS DE MORAIS,,Masculino,VET1M,3,TOP 100,0:37:01,1:19:23,1:40:12,1:55:37,2:13:09,2:52:35,2:54:21,"14,67"
43,96,JANIO ALVES DA SILVA,AMIZADE RUN,Masculino,ELITEM,3,,0:35:48,1:17:12,1:38:40,1:55:16,2:12:35,2:52:36,2:52:38,"14,67"
44,11573,ELIXANDRO LUIS DE SOUSA,CANELASDEBODE,Masculino,MASTM,12,TOP 100,0:40:06,1:24:06,1:45:24,2:00:53,2:17:34,2:52:36,2:54:17,"14,67"
45,11132,TIAGO SILVEIRA OLIVEIRA,,Masculino,MASTM,13,TOP 100,0:41:15,1:26:59,1:48:20,2:03:50,2:20:11,2:53:21,2:53:32,"14,61"
46,11098,ROMILDO AVELINO DE SOUZA,GAIVOTA RUN,Masculino,PRE-VETM,19,TOP 100,0:40:45,1:26:12,1:47:21,2:02:49,2:19:17,2:53:40,2:53:54,"14,58"
47,10929,MARCEL DOS SANTOS BARBOSA,,Masculino,PRE-VETM,20,TOP 100,0:40:28,1:26:47,1:48:31,2:04:13,2:20:37,2:53:45,3:00:08,"14,57"
48,10975,MICHEL DEUSDETE,KM RUNNER,Masculino,MASTM,14,TOP 100,0:41:21,1:26:30,1:47:52,2:03:10,2:19:37,2:54:35,2:55:36,"14,50"
49,10948,MARCOS CESAR LUCIO DE ALMEIDA,,Masculino,PRE-VETM,21,TOP 100,0:41:57,1:27:29,1:49:03,2:04:12,2:20:07,2:54:51,2:55:36,"14,48"
50,11070,ROBERTSON ANDRADE E SILVA,CORREDORESDAZONANORTE,Masculino,MASTM,15,TOP 100,0:41:33,1:27:13,1:48:50,2:04:36,2:21:27,2:54:59,2:55:18,"14,47"
51,11399,CELIO ROBERTO MENDONCA,NOTENHO,Masculino,PRE-VETM,22,TOP 100,0:41:23,1:27:35,1:49:30,2:05:09,2:21:57,2:55:03,2:55:42,"14,46"
52,12440,TIAGO SECCHIS MARINHO,,Masculino,MASTM,16,TOP 100,0:42:19,1:29:42,1:50:51,2:06:02,2:21:59,2:55:07,2:58:24,"14,46"
53,10688,EENANDES DOS SANTOS RODRIGUES,GOOD RUNNING,Masculino,MASTM,17,TOP 100,0:38:22,1:21:05,1:42:18,1:58:06,2:15:36,2:55:07,2:55:19,"14,46"
54,11145,VASCO ANTONIO DOS SANTOS FREITAS,MROCHA TEAM,Masculino,VET1M,4,TOP 100,0:39:26,1:24:11,1:45:50,2:01:52,2:19:32,2:55:18,2:55:22,"14,44"
55,11091,RODRIGO SILVA FRARE,,Masculino,MASTM,18,TOP 100,0:40:47,1:26:21,1:48:14,2:03:59,2:20:54,2:55:28,2:55:45,"14,43"
56,12946,EVANDRO TOLEDO DE MELO,CORREDORESDEJACARE,Masculino,MASTM,19,TOP 100,0:40:20,1:25:12,1:46:55,2:02:37,2:19:46,2:55:28,2:57:07,"14,43"
57,12245,RAUL RAMOS SANTOS,ZTRACK,Masculino,MASTM,20,TOP 100,0:42:24,1:27:51,1:49:22,2:04:50,2:21:20,2:55:32,2:57:43,"14,42"
58,11092,RODRIGO SIMOES DUARTE,,Masculino,PRE-VETM,23,TOP 100,0:39:52,1:25:04,1:46:39,2:02:04,2:19:16,2:55:34,2:56:18,"14,42"
59,11080,RODRIGO BARBOSA,,Masculino,MASTM,21,TOP 100,0:41:58,1:27:31,1:48:58,2:04:30,2:20:55,2:55:35,2:56:18,"14,42"
60,10936,MARCELO GONCALVES DE SOUZA,MARCELOKIASPORTS,Masculino,PRE-VETM,24,TOP 100,0:40:53,1:26:48,1:48:56,2:04:36,2:21:29,2:55:37,2:56:07,"14,42"
61,10867,JULIO CESAR DE CAMPOS MACHADO,AGAPE,Masculino,VET1M,5,TOP 100,0:37:44,1:21:31,1:42:30,1:57:57,2:15:32,2:55:48,2:55:56,"14,40"
62,10701,EMERSON CRISTIANO MOLINA FILHO,MOVE BETTER TEAM,Masculino,MASTM,22,TOP 100,0:41:47,1:28:00,1:49:55,2:05:41,2:22:31,2:55:49,2:56:06,"14,40"
63,10868,JULIO CESAR GONZAGA,,Masculino,PRE-VETM,25,TOP 100,0:49:22,1:42:41,2:08:08,2:26:55,2:49:16,2:55:54,2:57:31,"14,39"
64,10783,GUSTAVO ALENCAR TESTI,QUALITY LIFE,Masculino,MASTM,23,TOP 100,0:41:39,1:26:55,1:48:23,2:03:58,2:20:39,2:55:55,2:56:16,"14,39"
65,10515,ADRIANO MARTINS DOS ANJOS,S2ASSESSORIAESPORTIVA,Masculino,MASTM,24,TOP 100,0:39:57,1:24:22,1:45:43,2:01:41,2:19:08,2:56:02,2:56:11,"14,38"
66,10725,FABIO DA CUNHA,,Masculino,MASTM,25,TOP 100,0:40:37,1:24:53,1:45:50,2:01:36,2:19:03,2:56:04,2:56:43,"14,38"
67,11842,JOSE CLAUDIO ARAGAO SILVA,ASSESSORIA MANIA DE CORRER,Masculino,MASTM,26,TOP 100,0:42:07,1:28:37,1:50:35,2:06:02,2:21:52,2:56:05,2:56:17,"14,38"
68,10532,ALEXANDRE ALVES PEREIRA,GAIVOTA RUN,Masculino,MASTM,27,TOP 100,0:39:54,1:24:12,1:46:06,2:02:02,2:19:16,2:56:12,2:56:24,"14,37"
69,16033,ZACARIAS MARTINS DOS SANTOS FILHO,OSAKATEAM,Masculino,PRE-VETM,26,TOP 100,0:41:54,1:27:35,1:49:27,2:05:14,2:22:08,2:56:33,2:58:34,"14,34"
70,15716,CAIO VINICIUS DELLAGIUSTINA,FBRICAACADEMIAITUSP,Masculino,MASTM,28,TOP 100,0:40:42,1:25:46,1:47:41,2:03:22,2:20:21,2:56:43,2:57:05,"14,33"
71,10731,FABIO PERES SGOBI,FPS ASSESSORIA,Masculino,PRE-VETM,27,TOP 100,0:41:44,1:27:04,1:48:55,2:04:50,2:21:46,2:56:56,2:58:03,"14,31"
72,11148,VICTOR BELLI DE CARVALHO,PODIUM EQUIPE - ITAPIRA RUNNERS,Masculino,PRE-VETM,28,TOP 100,0:41:32,1:28:11,1:50:21,2:06:18,2:23:19,2:57:17,2:58:31,"14,28"
73,10660,DOUGLAS FARIAS DE BRITO,,Masculino,MASTM,29,TOP 100,0:40:59,1:27:55,1:50:05,2:05:53,2:22:44,2:57:22,2:57:27,"14,27"
74,10877,LEANDRO APARECIDO DIAS,,Masculino,MASTM,30,TOP 100,0:41:15,1:26:52,1:48:18,2:03:48,2:21:00,2:57:31,2:57:43,"14,26"
75,10602,CARLOS EDUARDO BRANCO,TEAM PATRICIA DE PAULA,Masculino,PRE-VETM,29,TOP 100,0:39:59,1:24:29,1:46:30,2:02:49,2:20:43,2:57:34,2:57:44,"14,26"
76,11151,VINICIUS CANDIDO,,Masculino,MASTM,31,TOP 100,0:41:14,1:26:56,1:48:52,2:04:49,2:21:55,2:57:36,2:58:32,"14,26"
77,11071,ROBINSON FERNANDO BUZARAGNO,RUNNERSKART,Masculino,PRE-VETM,30,TOP 100,0:41:55,1:29:26,1:51:21,2:06:53,2:23:36,2:57:42,2:57:45,"14,25"
78,11073,ROBSON ALVES RIBEIRO,ASSESSORIACARLOSFREITAS,Masculino,MASTM,32,TOP 100,0:41:01,1:26:31,1:48:29,2:04:47,2:21:47,2:57:50,2:58:00,"14,24"
79,10557,ANDRE MENEZES,AVULSO,Masculino,MASTM,33,TOP 100,0:42:02,1:27:31,1:49:22,2:05:06,2:22:24,2:57:54,2:58:14,"14,23"
80,11846,JOSE EDUARDO MOTTA GARCIA,ADIDASRUNNERS,Masculino,PRE-VETM,31,TOP 100,0:41:23,1:27:35,1:49:30,2:05:24,2:22:42,2:57:55,2:58:34,"14,23"
81,11048,REINALDO D SANTOS,RR RUN,Masculino,PRE-VETM,32,TOP 100,0:42:30,1:29:21,1:51:16,2:06:47,2:23:33,2:57:56,2:58:30,"14,23"
82,11761,IGOR SATYRO COELHO,NOTENHO,Masculino,MASTM,34,TOP 100,0:42:06,1:28:30,1:49:58,2:05:54,2:22:53,2:57:56,3:00:16,"14,23"
83,10569,ANTONIO BARBOSA DA SILVA,SPEED RUN,Masculino,PRE-VETM,33,TOP 100,0:38:44,1:22:45,1:44:38,2:02:19,2:20:44,2:57:57,2:58:48,"14,23"
84,10564,ANGELISIO SILVA DOS REIS,E.C TAVARES,Masculino,VET1M,6,TOP 100,0:41:14,1:27:29,1:49:47,2:06:05,2:23:18,2:58:02,2:58:37,"14,22"
85,11184,MAXIMILIANO AGUIRRE DOS SANTOS,DFLASH,Masculino,MASTM,35,TOP 100,0:41:47,1:28:23,1:50:04,2:06:00,2:22:55,2:58:04,2:59:16,"14,22"
86,13235,JOSE SERGIO TEIXEIRA DE OLINDA,,Masculino,ADULM,4,TOP 100,0:41:06,1:26:55,1:48:15,2:03:50,2:20:53,2:58:10,2:58:41,"14,21"
87,16042,JANDER AUGUSTO MOREIRA DE SOUZA SILVA,OSEIASSANTOSRUN,Masculino,ADULM,5,TOP 100,0:41:42,1:27:53,1:50:03,2:05:52,2:23:10,2:58:13,3:00:36,"14,21"
88,10739,FERNANDO ALISSON FERREIRA,,Masculino,PRE-VETM,34,TOP 100,0:41:21,1:28:00,1:50:46,2:06:52,2:24:20,2:58:45,2:59:00,"14,16"
89,10816,JEFFERSON FELIPE RAMALHO,LURDESSALGADOSVALINHOS,Masculino,PRE-VETM,35,TOP 100,0:40:12,1:25:22,1:46:54,2:03:14,2:20:57,2:58:51,2:59:14,"14,16"
90,10535,ALEXANDRE BATISTA PINTO,,Masculino,VET1M,7,TOP 100,0:42:17,1:28:10,1:50:21,2:06:17,2:23:55,2:59:01,2:59:15,"14,14"
91,11032,RAFAEL EDUARDO SILVA AZEVEDO,ADRENALINA,Masculino,MASTM,36,TOP 100,0:41:12,1:27:39,1:49:41,2:05:31,2:22:45,2:59:07,2:59:48,"14,13"
92,10718,FABIANO DE OLIVEIRA SOARES,SOU ULTRA,Masculino,PRE-VETM,36,TOP 100,0:41:45,1:28:14,1:50:16,2:06:03,2:23:14,2:59:09,2:59:56,"14,13"
93,10655,DIEGO SUEDDE,LOBO ASSESSORIA,Masculino,MASTM,37,TOP 100,0:42:58,1:29:44,1:51:55,2:07:45,2:25:01,2:59:12,2:59:44,"14,13"
94,10939,MARCELO SOARES JANUARIO,SEM EQUIOE,Masculino,PRE-VETM,37,TOP 100,0:40:54,1:27:17,1:49:01,2:04:52,2:21:57,2:59:27,2:59:42,"14,11"
95,10928,MAICON ALBERTO CASTILHO,ATLETACRV,Masculino,MASTM,38,TOP 100,0:42:08,1:28:38,1:50:48,2:06:19,2:23:21,2:59:37,2:59:48,"14,10"
