Pos,Num,name,Equipe,gender,Cat,Por Categoria,PC1_42K,PC2_42K,PC3_42K,time,Tempo Bruto,Vel.Média
39,1393,DOUGLAS FREITAS,TOP ENERGY RUN - PEPTAN RUNNERS,Masculino,M4044,8,0:27:11,1:17:16,2:17:55,2:43:59,2:44:06,3:54
40,2192,DIEGO BALAN,IMPARAVEIS TAURUS RUNNERS,Masculino,M3539,3,0:27:43,1:16:28,2:16:49,2:44:14,2:44:26,3:55
41,1276,JEFFERSON MATOS TINEO,TOPENERGYRUN,Masculino,M3539,4,0:27:13,1:17:14,2:17:57,2:44:52,2:45:00,3:56
42,3222,MARCOS EITI ITANO,CLUBE INGA,Masculino,M4044,9,0:26:51,1:15:40,2:18:57,2:45:48,2:45:56,3:57
43,1154,GEORGE MERCES DOS SANTOS,GMASSESSORIAESPORTIVA,Masculino,M4044,10,0:27:26,1:17:17,2:18:45,2:45:56,2:46:03,3:57
44,2873,JOAO VIEIRA,DOLBERTH ASSESORIA,Masculino,M4549,4,0:26:06,1:14:33,2:15:20,2:46:35,2:46:40,3:58
45,1792,WESLEY GARCEZ CANA BRASIL,SUPERACAO RUNNING F3 ASSESSORIA ESPORT,Masculino,M3539,5,0:27:26,1:17:18,2:18:57,2:46:49,2:46:55,3:58
46,15,FERNANDO QUARTAROLO MARQUES,IEMA - SAO CAETANO,Masculino,ELTM,18,0:26:15,1:15:36,2:19:01,2:46:57,2:47:00,3:58
47,1348,ALCEU DO NASCIMENTO DA SILVA,SINDILIMP CODECA BASE1 CAXIAS DO SUL,Masculino,M3539,6,0:27:14,1:17:17,2:18:57,2:47:12,2:47:20,3:59
48,2938,JOEL RODRIGUES,BATOM NA PISTA,Masculino,M5054,1,0:27:10,1:18:04,2:20:21,2:47:18,2:47:23,3:59
49,2320,LEONARDO MACEDO DE OLIVEIRA,LUDIAS ASSESSORIA ESPORTIVA,Masculino,M3034,7,0:28:39,1:19:46,2:21:36,2:47:23,2:47:31,3:59
50,1770,MAICOL VERRUCK,PANGARES DA SERRA,Masculino,M4044,11,0:27:36,1:18:20,2:20:20,2:47:23,2:47:29,3:59
51,641,NILO NASCIMENTO DOS SANTOS,MBSPORTS,Masculino,M3539,7,0:26:47,1:15:48,2:18:10,2:47:29,2:47:34,3:59
52,1424,MARCOS CESAR LUCIO DE ALMEIDA,AUCB,Masculino,M4044,12,0:28:47,1:19:45,2:21:01,2:47:33,2:47:57,3:59
53,788,EMERSON SEFFRIN,TEAM SEFFRIN,Masculino,M2529,4,0:28:00,1:18:12,2:20:22,2:47:51,2:47:55,4:00
54,1944,CRISTIAN BENI ZEPECHOUKA,CR RUNNERS BRASIL,Masculino,M3034,8,0:27:03,1:16:27,2:20:18,2:48:20,2:48:28,4:01
55,804,EDINILSON ALVES BETIM,DINOSSAUROS DO ATLETISMO,Masculino,M4044,13,0:28:43,1:20:30,2:22:17,2:48:26,2:48:34,4:01
56,1541,BRUNO MUSSO,LESMAS DO CERRADO,Masculino,M3539,8,0:27:59,1:19:31,2:20:50,2:48:30,2:48:42,4:01
57,347,JUAREZ OLIVEIRA,ALPHARUNNING,Masculino,M3539,9,0:27:47,1:18:03,2:20:26,2:48:52,2:48:58,4:01
58,2736,ALEJANDRO GABRIEL MALUH,,Masculino,M3539,10,0:26:47,1:17:45,2:21:12,2:48:59,2:49:07,4:01
59,22,JESSICA AMANDA PEREIRA,JAZZ TRAINER,Feminino,ELTF,1,0:28:17,1:19:40,2:21:42,2:49:05,2:49:08,4:02
60,2186,PEDRO HENRIQUE DA SILVA ALMEIDA SANTOS,ENDURANCE ON,Masculino,M4044,14,0:28:04,1:18:44,2:20:53,2:49:06,2:50:09,4:02
61,696,JORGE APOLONIO MAGALHAES OLIVEIRA,AACN,Masculino,M3539,11,0:28:14,1:20:05,2:22:08,2:49:12,2:49:19,4:02
62,3385,MATIAS AUGUSTO DE CARVALHO,RC ACESSORIA,Masculino,M3539,12,0:28:18,1:20:01,2:22:57,2:49:42,2:49:48,4:02
63,13,FABRICIA ESTER STEDILLE,TIMEJURANDYRCOUTO,Feminino,ELTF,2,0:27:39,1:18:06,2:22:15,2:49:58,2:50:02,4:03
64,1248,MARCELO PEREIRA DE ATAIDE,F3 ASSESORIA ESPORTIVA,Masculino,M4044,15,0:28:40,1:20:28,2:24:08,2:50:34,2:51:40,4:04
65,2408,ALIEL DA LUZ DOS SANTOS,TEAN GORILA,Masculino,M3034,9,0:28:20,1:19:38,2:22:08,2:50:35,2:50:49,4:04
66,734,VALDEMIR CAMPOS,IMPARAVEIS,Masculino,M4044,16,0:28:17,1:19:46,2:23:07,2:50:48,2:50:52,4:04
67,1455,ROMILDO AVELINO DE SOUZA,GAIVOTA RUN INDAIATUBA,Masculino,M4549,5,0:28:31,1:20:55,2:24:17,2:51:00,2:51:06,4:04
68,34,ROBERTO SILVEIRA,BV RUN TRI,Masculino,ELTM,19,0:25:26,1:12:00,2:11:08,2:51:05,2:51:08,4:04
69,245,LUCIANO VOZNIAK,VLOZ ASSESSORIA ESPORTIVA,Masculino,M3539,13,0:28:16,1:19:45,2:23:07,2:51:33,2:51:38,4:05
70,499,RAFAEL STEFANES,SAVAZONI RUNNING TEAM,Masculino,M4044,17,0:28:38,1:20:51,2:24:26,2:51:37,2:52:25,4:05
71,1317,LEONARDO STUMPF RECH,GPA ASSESSORIA,Masculino,M3034,10,0:28:26,1:19:42,2:23:39,2:51:49,2:51:57,4:05
72,2815,LUIS HENRIQUE VISENTAINER,TEAM NOGUEZ,Masculino,M3034,11,0:29:03,1:21:16,2:24:50,2:51:49,2:52:13,4:05
73,850,JABSON ASCENSO,GENTIL,Masculino,M5054,2,0:28:13,1:20:08,2:23:47,2:51:59,2:52:05,4:05
74,29,MARJORIE BARCELOS,GPA,Feminino,ELTF,3,0:27:52,1:18:54,2:23:58,2:52:03,2:52:06,4:06
75,2094,CAIO VINICIUS DELLAGIUSTINA,,Masculino,M3034,12,0:28:20,1:19:39,2:23:38,2:52:13,2:52:26,4:06
76,2612,NATANIEL TISOTT FRUET,,Masculino,M3539,14,0:27:12,1:17:23,2:21:21,2:52:15,2:52:22,4:06
77,1874,WELLINGTON FELIPE RODRIGUES,VO2 LIFE,Masculino,M2529,5,0:28:58,1:21:28,2:22:47,2:52:18,2:52:37,4:06
78,3307,ROBERTO TADAO,RIO SAUDE,Masculino,M4549,6,0:27:51,1:19:24,2:21:38,2:52:23,2:52:32,4:06
79,2844,REINALDO DA SILVA BARBOZA JUNIOR,CORRA MAIS MARINGA,Masculino,M3539,15,0:29:09,1:22:01,2:25:16,2:52:40,2:52:53,4:07
80,420,JONER LUIZ WESTENHOFEN,GALGOS,Masculino,M3539,16,0:28:48,1:21:15,2:24:48,2:52:41,2:53:08,4:07
81,600,JURANDIR DE JESUS,IMPARAVEIS,Masculino,M4044,18,0:29:16,1:22:04,2:26:46,2:53:16,2:53:28,4:07
82,4,ADRIANA SUTIL DA COSTA,,Feminino,ELTF,4,0:27:41,1:18:41,2:23:14,2:53:25,2:53:29,4:08
83,1739,AMAURI BARBOSA,,Masculino,M3034,13,0:29:31,1:22:56,2:27:33,2:53:25,2:53:37,4:08
84,1406,MARCO AURELIO DE OLIVEIRA MOREIRA,GPA ASSESSORIA,Masculino,M3034,14,0:29:32,1:23:07,2:27:42,2:54:01,2:54:09,4:08
85,886,ALEXANDRE BAUER,GO FIT,Masculino,M4044,19,0:29:25,1:22:43,2:27:19,2:54:02,2:54:31,4:08
86,2266,RAFAEL AZEVEDO,ADRENALINA,Masculino,M3034,15,0:29:36,1:22:51,2:27:28,2:54:06,2:54:26,4:08
87,1214,HUGO HENRIQUES MAIA VIEIRA,ISTEPO,Masculino,M3539,17,0:29:36,1:23:03,2:27:40,2:54:14,2:54:21,4:09
88,1269,JONATHAN SOARES WEBER,ESTUDIO CASATLETA,Masculino,M2529,6,0:27:42,1:18:51,2:24:17,2:54:15,2:54:25,4:09
89,1825,EVERSON QUADROS,CAVALI ATLETISMO,Masculino,M2529,7,0:27:48,1:18:54,2:24:18,2:54:19,2:54:24,4:09
90,1934,JOAO VINICIUS MACHADO,42K ASSESSORIA ESPORTIVA,Masculino,M3539,18,0:29:12,1:22:08,2:26:51,2:54:24,2:54:31,4:09
91,3631,TIAGO LAINE ALEXANDRINO,HF TREINAMENTO ESPORTIVO,Masculino,M4044,20,0:29:04,1:22:09,2:27:35,2:54:24,2:54:41,4:09
92,1200,ALMIR JOSE ZERMIANI,FV RUNNING,Masculino,M4549,7,0:29:17,1:22:07,2:26:51,2:54:25,2:54:37,4:09
93,2967,RAFAEL FERNANDO DA CRUZ DA SILVA,ALARME SEGCWBRUNNER,Masculino,M3539,19,0:29:46,1:23:07,2:27:50,2:54:27,2:54:27,4:09
94,779,PEDRO ANTONIO MARCELINO,F3 ASSESSORIA ESPORTIVA,Masculino,M3539,20,0:28:37,1:20:43,2:25:52,2:54:28,2:54:48,4:09
95,1407,DONATO DOS ANJOS,MBSPORTS,Masculino,M5054,3,0:28:51,1:22:03,2:27:28,2:54:34,2:54:45,4:10
96,619,FELIPE COSTA DA SILVA,F3 ASSESSORIA ESPORTIVA,Masculino,M3539,21,0:29:31,1:22:57,2:27:35,2:54:36,2:54:46,4:10
97,3233,DANIEL CAMPOS ALVES,GALO RUNNERS,Masculino,M3539,22,0:29:20,1:22:29,2:27:03,2:54:52,2:55:25,4:10
98,1877,JOSE NIELSON BEZERRA DE MORAES,SANTITREINO,Masculino,M5054,4,0:29:03,1:21:43,2:26:45,2:54:52,2:55:01,4:10
99,1419,DONISETE CARLOS LEAO,AROEIRARUNNERS,Masculino,M4549,8,0:28:17,1:20:24,2:25:35,2:54:53,2:55:05,4:10
100,1160,RENAN SARTORI JUNG,ALTO NIVEL,Masculino,M3034,16,0:27:42,1:18:55,2:24:16,2:54:53,2:55:00,4:10
101,841,LEANDRO BARBOSA RIBEIRO,TEAM URBANO CRACCO,Masculino,M4044,21,0:29:01,1:22:04,2:27:04,2:54:54,2:55:45,4:10
102,2868,WELLINGTON ALARCAO,ANAPOLIS MARATHON,Masculino,M3034,17,0:29:18,1:21:57,2:26:28,2:54:58,2:55:31,4:10
103,2172,EDUARDO TUNISSE,ZEZINHO GUARATINGUETA,Masculino,M4044,22,0:28:36,1:20:13,2:25:05,2:55:01,2:55:01,4:10
104,2147,MARCUS FERNANDES,,Masculino,M3539,23,0:29:03,1:21:41,2:26:53,2:55:06,2:55:14,4:10
105,2148,EWANDRO DE SOUZA,MF RACING,Masculino,M3539,24,0:29:03,1:21:41,2:26:55,2:55:15,2:55:24,4:10
106,1341,MATEUS CARVALHO,RF TREINAMENTO,Masculino,M3539,25,0:29:45,1:23:07,2:28:12,2:55:30,2:55:37,4:11
107,2705,EDUARDO LUIS MERIZIO,LP RUNNING,Masculino,M4044,23,0:29:40,1:23:04,2:27:46,2:55:32,2:55:38,4:11
108,1808,LUIS FERNANDO CELLA,TOPENERGYRUN,Masculino,M3539,26,0:29:41,1:23:20,2:27:57,2:55:45,2:55:54,4:11
109,301,RODRIGO BARBOSA,AUCB,Masculino,M3034,18,0:30:22,1:23:46,2:28:18,2:55:47,2:56:10,4:11
110,2000,ANTONIO JOSE MARTINS BATISTA,APTIDAO,Masculino,M4549,9,0:29:32,1:22:40,2:27:31,2:55:49,2:56:09,4:11
111,437,VINICIUS LEITE FERREIRA,MOOV ASSESSORIA ESPORTIVA,Masculino,M3539,27,0:29:02,1:21:29,2:26:58,2:55:59,2:56:19,4:11
112,1983,VITOR MORETZSOHN ROSA CESARINO,PRORUNNER,Masculino,M3539,28,0:28:07,1:20:19,2:25:21,2:56:04,2:56:30,4:11
113,2610,RAFAEL ALAN BASILIO,B TREINO,Masculino,M4044,24,0:29:57,1:22:49,2:27:43,2:56:04,2:56:45,4:11
114,1054,ERIBERTO REIS DE LIMA,EQUIPE FLY,Masculino,M5054,5,0:29:29,1:22:59,2:27:41,2:56:08,2:56:23,4:11
115,1050,LEANDRO SIMONI DE OLIVEIRA,,Masculino,M3539,29,0:28:18,1:20:44,2:25:40,2:56:12,2:56:19,4:12
116,1705,EVANDRO DO ROCIO SOARES DE LIMA,BANCO CRESSOL,Masculino,M3539,30,0:27:49,1:18:45,2:24:25,2:56:26,2:56:31,4:12
117,1903,MAICON FILIPE BERTELLI,VAS,Masculino,M3539,31,0:29:32,1:23:25,2:28:12,2:56:42,2:57:20,4:13
118,1634,DENIVAN DA SILVA FERREIRA DOS SANTOS,RENATO MAIA,Masculino,M4044,25,0:29:22,1:22:36,2:27:51,2:56:43,2:57:01,4:13
119,36,VALQUIRIA MARQUES DE OLIVEIRA,SEMEL SAO JOSE DOS PINHAIS,Feminino,ELTF,5,0:28:18,1:20:56,2:27:52,2:56:48,2:56:54,4:13
120,2872,IVAN PINTO BATISTA DE CASTRO,APICE,Masculino,M4044,26,0:29:46,1:23:28,2:29:27,2:56:50,2:57:27,4:13
121,477,ROGERIO MATEUS,RM ASSESSORIA ESPORTIVA,Masculino,M4549,10,0:29:04,1:21:29,2:27:12,2:56:55,2:57:11,4:13
122,1137,FELIPE RIBEIRO,,Masculino,M3034,19,0:29:24,1:22:53,2:28:13,2:57:02,2:57:19,4:13
