Pos,Num,name,Equipe,gender,Cat,Por Categoria,PC1_42K,PC2_42K,PC3_42K,time,Tempo Bruto,Vel.Média
667,932,LUIS CASSIANO DOS SANTOS,BATOM NA PISTA,Masculino,M4044,146,0:34:04,1:35:00,2:52:58,3:30:42,3:31:52,5:01
668,1696,ROGERIO DELATORRE,CIA DOS CAVALOS,Masculino,M5054,40,0:34:41,1:36:50,2:53:52,3:30:42,3:31:08,5:01
669,1558,ELTON MENDES,PAPA-LEGUAS,Masculino,M3034,96,0:34:18,1:33:55,2:50:45,3:30:42,3:32:59,5:01
670,1673,GUSTAVO LEITE FARIA FIGUEIREDO,RF TREINAMENTO,Masculino,M4549,86,0:34:37,1:37:01,2:56:29,3:30:43,3:31:31,5:01
671,2667,JHOE SIQUEIRA INACIO,CORRELAGES,Masculino,M3034,97,0:35:59,1:38:48,2:55:47,3:30:46,3:31:18,5:01
672,902,RENATO CARDIM,TRILOPEZ,Masculino,M4044,147,0:35:36,1:39:09,2:57:05,3:30:49,3:32:07,5:01
673,3196,RAFAEL HEILBERG,SAUDE E PERFORMANCE,Masculino,M3034,98,0:35:38,1:39:42,2:57:39,3:30:50,3:31:46,5:01
674,2099,MARCOS ALVES,,Masculino,M4549,87,0:35:28,1:36:38,2:53:34,3:30:57,3:32:36,5:01
675,2288,ANA PAULA BERTAZI,PACE RUN ASSESSORIA ESPORTIVA,Feminino,F2529,7,0:37:45,1:43:15,2:59:23,3:31:03,3:33:34,5:01
676,715,BERNARDO PAROLINI,,Masculino,M2024,13,0:36:19,1:39:25,2:56:35,3:31:07,3:31:24,5:02
677,1948,RICARDO FACHINELLO,PASSO A PASSO,Masculino,M3539,152,0:37:05,1:36:51,2:54:49,3:31:09,3:32:41,5:02
678,582,GABRIEL JUNCKES DA SILVA MATTOS,TRAINING FEET,Masculino,M3539,153,,1:35:26,2:56:00,3:31:12,3:31:45,5:02
679,207,GUILHERME SOARES DE LIMA,CAPIVARA CORREDORA,Masculino,M2529,45,0:37:46,1:42:24,2:59:30,3:31:15,3:33:06,5:02
680,853,KAMILE CATIQUE NORONHA,FRANKNEY LOPES,Feminino,F4044,18,0:35:37,1:38:36,2:56:56,3:31:17,3:31:50,5:02
681,1222,ANDERSON APARECIDO DE PADUA,TOP ENERGY RUN,Masculino,M5054,41,0:35:43,1:39:23,2:56:57,3:31:20,3:32:04,5:02
682,2342,ALEX DE ALBUQUERQUE SILVA,,Masculino,M4044,148,0:35:07,1:38:01,2:56:40,3:31:22,3:33:49,5:02
683,3304,JULIANO MARTINS SANTIAGO,SANTIAGO RUNNING,Masculino,M4044,149,0:35:48,1:39:45,2:57:07,3:31:24,3:32:29,5:02
684,3592,HAVANA MATOS OLIVEIRA,RENATO MAIA,Feminino,F3539,12,0:35:18,1:38:18,2:55:59,3:31:24,3:33:36,5:02
685,2393,MARCOS CESAR PINTO MARTINS,CORRER VIVER,Masculino,M5054,42,0:32:10,1:30:55,2:49:37,3:31:28,3:32:40,5:02
686,1657,JAQUES DOS SANTOS VENTURA,HJ ASSESORIA ESPORTIVA,Masculino,M4044,150,0:33:31,1:32:09,2:54:44,3:31:30,3:33:10,5:02
687,2507,LEANDRO HENZ,,Masculino,M5054,43,0:33:44,1:35:47,2:54:24,3:31:30,3:32:20,5:02
688,1278,ELAINE MESSIAS GOMES,TOP ENERGY RUN,Feminino,F4044,19,0:33:08,1:35:10,2:56:09,3:31:30,3:32:02,5:02
689,526,HOAIANY CASAGRANDA,NOVA ACROPOLE,Masculino,M4044,151,0:36:31,1:39:28,2:56:51,3:31:32,3:33:49,5:02
690,1641,AGEU VIDAL DE MIRANDA,CLUBE YARA,Masculino,M3034,99,0:31:04,1:31:32,2:53:10,3:31:37,3:31:49,5:02
691,2965,FLAVIO AUGUSTO BERNARDES DE SOUZA BARROS,,Masculino,M3539,154,0:36:23,1:40:11,2:58:01,3:31:38,3:32:43,5:02
692,1230,FABRICIO AFONSO SANTOS,,Masculino,M3034,100,0:32:57,1:33:38,2:53:20,3:31:43,3:32:15,5:02
693,3285,ALVARO BARRETO DE OLIVEIRA,RENATO MAIA,Masculino,M4549,88,0:32:34,1:31:48,2:52:26,3:31:45,3:32:25,5:02
694,2476,GIULLIANO SOARES MORAIS MESQUITA,KM ASSESSORIA ESPORTIVA,Masculino,M4549,89,0:36:15,1:38:51,2:56:52,3:31:46,3:34:19,5:02
695,960,PEDRO DANTAS VIEIRA JUNIOR,,Masculino,M3539,155,0:36:50,1:41:14,2:59:35,3:31:46,3:34:20,5:02
696,896,ALLYSSON GILLIAN MACHADO DA SILVA,BS ASSESSORIA ESPORTIVA,Masculino,M3539,156,0:36:47,1:41:04,2:59:39,3:31:46,3:34:21,5:02
697,434,LUIZ JUNIOR DA SILVA,MOOV ASSESSORIA ESPORTIVA,Masculino,M3539,157,0:35:09,1:34:57,2:53:03,3:31:47,3:32:50,5:02
698,278,PATRICIA DIAS DE CARVALHO,ASSESSORIA PATTHY RUNNING,Feminino,F3034,10,0:33:31,1:36:15,2:56:35,3:31:49,3:32:02,5:02
699,3135,CONRADO NOGUEIRA,,Masculino,M3034,101,0:35:03,1:37:18,2:55:21,3:31:49,3:33:13,5:02
700,1709,WLAMIR MOLETTO,RUN UP,Masculino,M6064,5,0:35:14,1:39:04,2:58:00,3:31:49,3:33:20,5:02
701,2351,MARIA LUIZA AREAL CORREA DE SA E BENEVIDES,GPA,Feminino,F2529,8,0:35:12,1:39:36,2:58:16,3:31:51,3:32:39,5:02
702,929,MARISA SIDNEIA XAVIER FERRAZ,RK RUNNERS,Feminino,F4549,4,0:34:46,1:38:47,2:56:57,3:31:52,3:32:41,5:02
703,2618,RICARDO CAMPANATE,TEO ESPORTES,Masculino,M3539,158,0:34:48,1:37:35,2:56:34,3:31:53,3:32:53,5:02
704,1879,ANDRE PORTELLA,EQUIPE GENTIL GOULARTE,Masculino,M5054,44,0:33:57,1:35:41,2:55:01,3:31:54,3:33:03,5:03
705,2619,LARISSA CHRISTOVAM SIMOES,TEO ESPORTES,Feminino,F4044,20,0:34:50,1:37:45,2:56:36,3:31:55,3:32:56,5:03
706,732,ARLENE SANTOS ROCHA,TRILOPEZ,Feminino,F4549,5,0:35:18,1:39:12,2:58:38,3:31:56,3:33:13,5:03
707,2048,JOAO VICTOR HILGERT MANCINI,,Masculino,M2529,46,0:36:23,1:42:03,3:00:59,3:32:17,3:34:07,5:03
708,2079,SIDINEI TEIXEIRA,,Masculino,M4044,152,0:34:31,1:35:25,2:55:06,3:32:17,3:33:23,5:03
709,3391,ANDRE ABREU DE SOUZA,ACQUARUNNERS,Masculino,M4549,90,0:34:42,1:37:08,2:55:32,3:32:19,3:34:02,5:03
710,1128,OSCAR PICINATO JUNIOR,BASSI ACESSORIA ESPORTIVA,Masculino,M4549,91,0:35:34,1:37:20,2:54:48,3:32:26,3:35:38,5:04
711,1932,LEOVANE DALLABONA,MFRACING,Feminino,F4044,21,0:36:27,1:40:20,2:58:44,3:32:27,3:32:40,5:04
712,2976,LUCAU AFONSO LEMOS,,Masculino,M3034,102,0:30:16,1:26:58,2:48:25,3:32:30,3:32:37,5:04
713,377,GEORGE FAGUNDES FIRMINO,ENZO AMATO,Masculino,M2529,47,0:35:33,1:39:05,2:56:29,3:32:31,3:33:09,5:04
714,3487,LUCAS CHIARINI SIMOES,MIND RUNNERS,Masculino,M3034,103,0:35:45,1:38:53,2:57:17,3:32:32,3:34:23,5:04
715,3293,JAQUELINE FERNANDA DE OLIVEIRA A ARRUDA,DT ACESSORIA,Feminino,F3034,11,0:34:06,1:36:24,2:57:19,3:32:32,3:33:19,5:04
716,119,SARILA HALI KLOSTER,GENTIL,Feminino,F3539,13,0:33:38,1:35:59,2:55:58,3:32:42,3:33:25,5:04
717,2039,ALEXSANDRO MARQUES DOS SANTOS,AMIGOS DO ALEX,Masculino,M4549,92,0:34:40,1:38:28,2:58:09,3:32:44,3:33:30,5:04
718,2201,SERGIO WILLRICH,GD ASSESSORIA ESPORTIVA,Masculino,M3539,159,0:35:56,1:39:04,2:58:06,3:32:46,3:35:21,5:04
719,2278,ADRIENE STAHLSCHMIDT,CHICO FERRARI,Feminino,F3539,14,0:34:31,1:38:18,2:58:19,3:32:52,3:33:20,5:04
720,608,RODRIGO DOS SANTOS CHAGAS,EQUIPE ALTO NIVEL,Masculino,M4549,93,0:29:16,1:22:40,2:29:33,3:32:53,3:33:25,5:04
721,440,MARCELO ANGELASIO DE SOUZA,MOVE ON,Masculino,M5054,45,0:32:39,1:32:39,2:51:57,3:32:56,3:33:36,5:04
722,1910,GUSTAVO MOREIRA,DANIEL NAVES RUN,Masculino,M2024,14,0:29:53,1:23:34,2:30:11,3:32:58,3:33:14,5:04
723,2811,BRUNO CESTARO,,Masculino,M3539,160,0:35:39,1:40:34,2:59:24,3:33:00,3:34:04,5:04
724,1835,FLAVIANO TIEPO,FLORIPA RUNNERS,Masculino,M4044,153,0:35:01,1:39:35,2:59:50,3:33:01,3:34:06,5:04
725,368,ALEXANDRE BERVIAN,MENUCI ASSESSORIA ESPORTIVA,Masculino,M5054,46,0:36:44,1:41:38,3:00:09,3:33:03,3:33:53,5:04
726,1058,LEONARDO VINICIUS GONCALVES DE ABREU,,Masculino,M4549,94,0:35:09,1:39:16,2:58:47,3:33:07,3:33:16,5:04
727,823,LUCIANO DE PINHO TAVARES,GAROPABA RUNNERS GRP - ACADEMIA,Masculino,M5559,14,0:33:32,1:34:52,2:55:11,3:33:09,3:34:45,5:04
728,2470,KJELL OVE BREIVIK,OSM THOME RUNNERS,Masculino,M5054,47,0:34:46,1:38:51,2:58:16,3:33:12,3:33:59,5:05
729,1388,DANIELA DE CASTRO MELO,FARNEZI SANTE,Feminino,F4044,22,0:34:38,1:39:05,2:58:59,3:33:12,3:33:27,5:05
730,3446,PEDRO DOS SANTOS,PEDRO SANTOS,Masculino,M6064,6,0:34:40,1:39:05,2:58:55,3:33:13,3:33:27,5:05
731,2735,MIGUEL PIRES DE CARLI,GPA ASSESSORIA,Masculino,M4549,95,0:33:39,1:34:44,2:54:27,3:33:13,3:33:36,5:05
732,2009,RAFAEL CARMINATI,TRIEX,Masculino,M3539,161,0:34:53,1:37:29,2:56:17,3:33:19,3:33:54,5:05
733,3423,BRUNO PALHANO DE SOUZA,,Masculino,M2529,48,0:36:05,1:39:27,2:58:16,3:33:19,3:34:31,5:05
734,1210,ELIANE ROCHA DE AMORIM GOULART,ALL LIMA,Feminino,F4044,23,0:34:44,1:36:12,2:57:04,3:33:24,3:34:20,5:05
735,558,KLEBER JOSE DE ALBUQUERQUE BARROS,KGG RUNNERS,Masculino,M2529,49,0:37:21,1:40:26,2:59:50,3:33:25,3:36:16,5:05
736,269,MIKE YOSHIJI KAKIHARA,AUCB,Masculino,M3539,162,0:37:18,1:42:39,3:01:34,3:33:27,3:33:52,5:05
737,858,DYEGGO KELLER GONCALVES,TH ASSESSORIA,Masculino,M4044,154,0:34:49,1:39:05,2:58:44,3:33:28,3:34:09,5:05
738,1767,LILIAN MARIA BAGLI DA SILVA,,Feminino,F4549,6,0:35:39,1:40:06,3:01:29,3:33:29,3:36:06,5:05
739,733,ERICA DE LOURDES,ENDORFINA ASSESSORIA ESPORTIVA,Feminino,F4044,24,0:36:17,1:41:31,3:00:59,3:33:29,3:33:48,5:05
740,241,LUCAS NICOLAS LOFRANO,,Masculino,M4044,155,0:32:28,1:33:03,2:54:28,3:33:34,3:33:55,5:05
741,1575,KATIA CILENE DE ALMEIDA,,Feminino,F5054,3,0:31:49,1:32:52,2:55:11,3:33:35,3:33:44,5:05
742,2004,PETERSON LINDBECK,,Masculino,M4044,156,0:36:27,1:39:29,2:58:01,3:33:36,3:35:27,5:05
743,1173,ANELISE SCHLICKMANN MARIANO,EQUIPE TIME FLORIANOPOLIS,Feminino,F3539,15,0:34:11,1:36:05,2:56:56,3:33:36,3:34:25,5:05
744,977,LUIZ FELIPE DE MELO,BS ASSESSORIA ESPORTIVA,Masculino,M2529,50,0:36:51,1:41:13,2:59:39,3:33:38,3:36:12,5:05
745,1928,CARINE TIGRE,PRETTO TREINAMENTO,Feminino,F4044,25,0:35:36,1:40:18,3:00:01,3:33:38,3:35:06,5:05
746,473,WILSON MORAES,OJANIOASSESSORIA,Feminino,F5054,4,0:32:19,1:31:57,2:55:19,3:33:47,3:34:00,5:05
747,3447,FABIANO OLIVEIRA VELHO,MORO SPORT,Masculino,M4044,157,0:30:24,1:27:02,2:55:32,3:33:47,3:34:05,5:05
748,2198,JONATAS ISRAEL NATEL VIEIRA,META ASSESSORIA,Masculino,M2529,51,0:38:41,1:39:20,2:55:10,3:33:48,3:35:38,5:05
749,1136,TONY PALOMARES GARCIA,,Masculino,M4044,158,0:34:57,1:37:03,2:56:17,3:33:50,3:35:25,5:05
750,622,ELEANDRO DE JESUS DA SILVA,RUNNING DIGO,Masculino,M4044,159,0:31:48,1:30:41,2:55:10,3:33:51,3:34:03,5:05
751,2273,BRUNA GIOVANA DA SILVA CAROCCIA,FAJARDO,Feminino,F3539,16,0:35:30,1:39:15,2:58:03,3:33:55,3:34:30,5:05
752,3543,ALISSON ALVES CLARINDA,GORILA TEAN,Masculino,M4044,160,0:37:06,1:40:31,2:57:56,3:34:00,3:35:46,5:05
753,1793,FILIPI MACIEL,TEAMGORILA,Masculino,M3539,163,0:37:07,1:40:31,2:57:58,3:34:01,3:35:47,5:06
754,2694,ROBSON BORGES ROVEDA,INSPIRE RUN,Masculino,M3034,104,0:34:49,1:37:02,2:57:03,3:34:02,3:34:47,5:06
755,3328,LUCINETE DE ANDRADE VERONEZ DUARTE,,Feminino,F4549,7,0:35:04,1:38:58,2:59:27,3:34:10,3:35:16,5:06
756,2378,CARLOS ALBERTO ALVES CHAVES,LS ASSESSORIA ESPORTIVA - ALEGRETEURUGU,Masculino,M5054,48,0:34:03,1:36:17,2:59:13,3:34:10,3:37:38,5:06
757,514,PEDRO LUCIANO FERREIRA MARQUES,VIDA CORRIDA ASSESSORIA ESPORTIVA,Masculino,M4549,96,0:33:44,1:34:59,2:55:55,3:34:12,3:34:42,5:06
758,1204,MAURO CALAIS DE SIQUEIRA,BFL,Masculino,M5054,49,0:35:41,1:39:49,2:59:09,3:34:12,3:34:46,5:06
759,3490,SIMONE MARQUES DA SILVA,,Feminino,F4044,26,0:35:18,1:39:46,2:59:54,3:34:15,3:34:41,5:06
760,2126,JONY MASAO SATO,CAVEIRA MARATHON TEAM,Masculino,M5054,50,0:34:44,1:38:38,2:58:35,3:34:17,3:36:26,5:06
761,2447,GILVAN HERCULANO MOURAO MOURAO,,Masculino,M5054,51,0:35:16,1:39:11,2:58:27,3:34:18,3:35:49,5:06
762,1573,RENATO BALDO BATISTA GONCALVES,CAROL FURRIELA TEAM CFTEAM,Masculino,M4044,161,0:35:48,1:39:50,2:59:11,3:34:18,3:35:52,5:06
763,1152,HUMBERTO PISANI NAVARRO STOTZ,,Masculino,M4549,97,0:33:01,1:33:31,2:55:33,3:34:19,3:35:38,5:06
764,2957,ADELMO FERREIRA DE LIMA FILHO,,Masculino,M4044,162,0:33:30,1:34:39,2:54:27,3:34:20,3:34:37,5:06
765,2867,BARBARA AMELIA DA MOTA MARQUES COELHO,HELENO FORTES,Feminino,F3539,17,0:35:42,1:39:34,2:59:41,3:34:21,3:36:34,5:06
766,1571,DANIEL BAIA DE SOUZA JUNIOR,,Masculino,M4549,98,0:36:52,1:38:51,2:56:17,3:34:23,3:35:23,5:06
767,2293,ANDREIA MARTINS DOS SANTOS,FS ASSESSORIA ESPORTIVA,Feminino,F3539,18,0:36:11,1:41:20,3:02:59,3:34:24,3:35:17,5:06
768,518,FABIO GONCALVES MACHADO,VIDA CORRIDA ASSESSORIA ESPORTIVA,Masculino,M5054,52,0:36:12,1:40:57,3:00:03,3:34:24,3:35:36,5:06
769,1995,VINICIUS REA SAURIN,CAROL FURRIELA TEAM,Masculino,M3034,105,0:34:03,1:35:56,2:56:14,3:34:32,3:35:14,5:07
770,1364,LEONARDO CEREDA COSTA,CEREDA RUNNERS,Masculino,M4044,163,0:34:07,1:38:42,2:58:38,3:34:37,3:35:25,5:07
771,2424,JOCELAINE SILVA VINHATTO,ASSESSORIA LUCIANO NUNES,Feminino,F3539,19,0:35:42,1:39:33,2:58:53,3:34:42,3:35:51,5:07
772,3185,JOSE CLAUDIO MIRANDA,TUBARAO RUNNERS,Masculino,M6064,7,0:32:15,1:33:34,2:55:42,3:34:43,3:35:31,5:07
773,1807,ANDERSON BOTELHO DOS SANTOS,,Masculino,M4044,164,0:36:36,1:39:51,2:58:08,3:34:44,3:36:33,5:07
774,1832,ANDRE LUIZ TOMAIS,APATRI,Masculino,M3539,164,0:27:52,1:27:38,2:56:48,3:34:46,3:34:52,5:07
775,3530,THAIS DANDOLO,CAROL FURRIELA TEAM,Feminino,F3034,12,0:34:46,1:38:36,3:00:08,3:34:47,3:35:35,5:07
776,2055,MATEUS ALVES BOEIRA,TAINHA RUNNERS,Masculino,M4549,99,0:34:29,1:38:36,2:58:44,3:34:49,3:35:43,5:07
777,2212,JESSE DE ANDRADE CORREIA NETO,KM ASSESSORIA,Masculino,M3539,165,0:37:14,1:44:43,3:02:36,3:34:52,3:37:25,5:07
778,1404,WANDERLEI RIBEIRO PAFRAO,BFL ESPORTES,Masculino,M4549,100,0:36:39,1:39:38,2:58:29,3:34:54,3:36:04,5:07
779,2639,HENRIQUE PHILIPP WIRSCHING,SDM,Masculino,M5054,53,0:36:32,1:40:45,2:58:43,3:34:55,3:37:29,5:07
780,1498,JULIO PINHEIRO LIMA,PATO DOD,Masculino,M4549,101,0:35:49,1:39:46,2:59:57,3:34:59,3:35:26,5:07
781,2339,ODIRLEI SILVA DE SOUZA,PAPALEGUAS,Masculino,M3539,166,0:35:27,1:39:17,3:00:29,3:35:02,3:37:19,5:07
782,2016,LEANDRO LIMA BORGES,CTP BORGES,Masculino,M3539,167,0:31:24,1:30:24,2:51:20,3:35:02,3:35:13,5:07
783,1479,ANTONIO CARLOS FREIRE,TEAM FENIX,Masculino,M3539,168,0:35:00,1:36:42,2:56:17,3:35:04,3:36:22,5:07
784,2420,MICHELI DIAS MALUF,4RUN,Feminino,F4044,27,0:37:29,1:38:41,2:55:38,3:35:05,3:37:51,5:07
785,2896,TIAGO ANDRE KOCH,RAIAR RUNNERS,Masculino,M4044,165,0:35:57,1:39:02,2:57:57,3:35:08,3:37:16,5:07
786,474,ADRIANO DA SILVA MIGNOT,PEGASUS,Masculino,M3539,169,0:33:31,1:33:58,2:58:46,3:35:08,3:36:09,5:07
787,2886,FLADIMIR SCHARDOSIM REOS,PRORUNNER,Masculino,M4549,102,0:37:15,1:42:43,3:00:43,3:35:10,3:36:12,5:07
788,2713,ROOSVELT ALDE ALMEIDA,RE9,Masculino,M6064,8,0:34:05,1:37:06,2:58:11,3:35:20,3:35:29,5:08
789,3783,MICHEL MARCHI BURDA,SOFT AR,Masculino,M4044,166,0:35:37,1:38:49,3:00:51,3:35:21,3:38:16,5:08
790,2218,SOCRATES ALFREDO ODIA,M8RUNNERS,Masculino,M3539,170,0:36:46,1:41:50,3:00:58,3:35:22,3:35:54,5:08
791,2963,JOSE BARBOSA,,Masculino,M3034,106,0:34:27,1:36:32,3:00:52,3:35:24,3:36:12,5:08
792,563,ROBERTO MELINTINO FERREIRA,EQUIPE TOP,Masculino,M6569,3,0:33:00,1:33:47,2:52:23,3:35:25,3:36:18,5:08
793,3171,ANDRE NIVALDO DA CUNHA,,Masculino,M4044,167,0:38:49,1:43:48,3:01:25,3:35:26,3:38:01,5:08
794,2464,FERNANDA SANTOS,CORRER BEM ASSESSORIA,Feminino,F4044,28,0:38:05,1:44:20,3:03:01,3:35:26,3:37:24,5:08
795,2678,RENATO DAROLT,F6D ASSESSORIA ESPORTIVA,Masculino,M4044,168,0:34:37,1:37:09,2:57:25,3:35:29,3:37:42,5:08
796,595,FLORIANO VIEIRA JUNYOR,VASCULAR RUN,Masculino,M4044,169,0:36:30,1:42:41,3:02:25,3:35:31,3:37:43,5:08
797,1117,RALFIO FERREIRA,TR TEAM,Masculino,M6064,9,0:34:08,1:36:18,2:55:16,3:35:31,3:36:04,5:08
798,228,JOSE ROBERTO DE PAULA,S2 ASSESSORIA ESPORTIVA,Masculino,M5559,15,0:36:13,1:40:02,2:59:17,3:35:37,3:36:37,5:08
799,2474,ANTONIO CEZAR PETRUCCI RODRIGUES,,Masculino,M6064,10,0:37:12,1:42:12,3:00:28,3:35:42,3:39:58,5:08
800,711,RICARDO BELIZARIO DA SILVA,,Masculino,M3034,107,0:37:34,1:42:26,3:01:03,3:35:45,3:37:00,5:08
801,2175,ALINE INES GAMBETA,,Feminino,F4044,29,0:35:33,1:40:43,3:01:06,3:35:47,3:36:12,5:08
802,466,DUONE PEREIRA,OJANIOASSESSORIA,Masculino,M3539,171,0:34:41,1:37:18,2:58:50,3:35:47,3:36:23,5:08
803,635,RICARDO SILVA HERNANDES,,Masculino,M4549,103,0:37:53,1:44:36,3:03:59,3:35:49,3:37:46,5:08
804,687,PABLO PREZIOSO,GF RUNNING TEAM,Masculino,M3539,172,0:34:56,1:38:32,2:58:49,3:35:56,3:36:28,5:08
805,1942,THIAGO MORALES,OS TUCANOS,Masculino,M3539,173,0:36:20,1:41:33,3:01:55,3:35:59,3:36:25,5:08
806,3191,DEIVT TOMASELLI,,Masculino,M3539,174,0:34:27,1:35:46,2:55:43,3:35:59,3:37:11,5:08
807,1208,ALINE VIVEIROS,,Feminino,F3034,13,0:36:11,1:39:47,3:00:39,3:36:01,3:36:23,5:08
808,3452,CRISTINE COELHO CAZEIRO,,Feminino,F3034,14,0:36:43,1:42:47,3:02:46,3:36:03,3:37:37,5:08
809,2742,FRANCIELE PIROLLI,,Feminino,F3539,20,0:34:11,1:36:50,2:56:21,3:36:23,3:37:02,5:09
810,3138,CLEMENS EMANUEL SANTANA DE FREITAS,,Masculino,M4044,170,0:37:24,1:42:31,3:02:55,3:36:26,3:38:00,5:09
811,2133,JOSE CEQUEIRA DA SILVA,BRANCA ESPORTES,Masculino,M5559,16,0:34:59,1:37:47,2:57:14,3:36:27,3:37:11,5:09
812,1432,MATHEUS HENRIQUE SECUNDINO DE OLIVEIRA,B2 RUNNING,Masculino,M3034,108,0:35:19,1:38:00,3:00:41,3:36:28,3:37:26,5:09
813,515,RAFAEL SILVA HERNANDES,VIDA CORRIDA ASSESSORIA ESPORTIVA,Masculino,M4044,171,0:37:57,1:44:29,3:03:58,3:36:31,3:38:28,5:09
814,1964,EDUARDO OLIVEIRA FERNANDES,,Masculino,M3034,109,0:37:14,1:41:47,2:59:10,3:36:31,3:38:11,5:10
815,2350,NAUMAR TANAKA,,Masculino,M4044,172,0:36:17,1:41:58,3:02:45,3:36:37,3:37:37,5:10
816,659,VINICIUS DA SILVA MENDONCA,,Masculino,M4044,173,0:36:51,1:40:50,3:01:12,3:36:40,3:37:14,5:10
817,126,ADRIANO DOS SANTOS VIEIRA,LIVRE-SE,Masculino,M4044,174,0:35:42,1:41:22,3:03:41,3:36:43,3:37:53,5:10
818,1103,MARIA ISABELLA DE ALMEIDA BARBIERI,RUNNERS RIO ASSESSORIA ESPORTIVA,Feminino,F4549,8,0:35:05,1:39:05,2:59:59,3:36:44,3:38:29,5:10
819,2526,MANOEL RENE RAMOS,,Masculino,M4044,175,0:37:01,1:41:57,3:02:49,3:36:45,3:38:43,5:10
820,791,LUCA LANGN SEMPE,GUARDIOES DO NORTE DA ILHA,Masculino,M3034,110,0:35:45,1:39:13,3:01:09,3:36:46,3:37:36,5:10
821,1234,ENZO LAURENTINO DE CORDOVA,VIVA BEM,Masculino,M3539,175,0:36:34,1:41:59,3:02:22,3:36:46,3:39:06,5:10
822,597,ROBERT JOSE CANTOS MENENDEZ,LION,Masculino,M3034,111,0:35:04,1:37:39,2:58:19,3:36:51,3:37:21,5:10
823,2710,ANA MARIA GOMES MANOEL,SOU FITNESS RUNNERS,Feminino,F5559,1,0:35:33,1:39:55,3:01:50,3:36:52,3:38:53,5:10
824,3190,AROLDO JOAO DA SILVA JUNIOR,,Masculino,M3034,112,0:34:10,1:34:31,2:55:30,3:36:57,3:39:03,5:10
825,1708,ITAMARA PRADO DE SOUSA,BODYFUN,Feminino,F3539,21,0:35:21,1:40:01,3:01:12,3:36:57,3:37:21,5:10
826,3331,HELLEN GOEDERT DA SILVA,CORRE LAGES,Feminino,F3034,15,0:39:25,1:44:23,3:02:44,3:36:58,3:36:58,5:10
827,2196,SILVIA REGINA DIAS DOUGLAS,MD MULTISPORT,Feminino,F4549,9,0:36:21,1:42:04,3:02:52,3:37:00,3:38:21,5:10
828,1915,ALEXANDRE DE OLIVEIRA DOS SANTOS,GPA,Masculino,M4549,104,0:34:27,1:36:42,2:57:50,3:37:01,3:37:35,5:10
829,2669,SOLANGE HOELTEBAUM JANSEN,LAPRUN,Feminino,F5559,2,0:35:37,1:39:40,3:00:17,3:37:02,3:38:08,5:10
830,1783,LUCIANA RIBEIRO DA SILVA,CONTRATEMPO,Feminino,F4549,10,0:36:53,1:42:53,3:02:40,3:37:08,3:38:05,5:10
831,1619,GUSTAVO COMIOTTO SCHMITZ,ENDURANCE ON,Masculino,M2529,52,,1:42:55,3:04:30,3:37:09,3:37:31,5:10
832,2217,HEDERSON LUIZ SOARES,,Masculino,M3539,176,0:37:23,1:43:17,3:03:04,3:37:11,3:39:18,5:10
833,1745,MAURICIO BARBIERI MEZOMO,PRO ELITE,Masculino,M4044,176,0:35:53,1:40:31,3:01:21,3:37:13,3:37:55,5:10
834,3351,JORGE AUGUSTO SCHULZ DA CONCEICAO,,Masculino,M4044,177,0:36:15,1:42:37,3:03:26,3:37:15,3:38:32,5:10
835,3628,LUIZ FERNANDO ROSSI PIPINO,RF TREINAMENTO ESPORTIVO,Masculino,M4044,178,0:36:18,1:41:44,3:02:46,3:37:15,3:39:22,5:10
836,1017,GUILHERME BEZERRA PERMINIO,CORRIDA PERFEITA,Masculino,M3539,177,0:37:17,1:41:17,3:01:26,3:37:17,3:39:37,5:10
837,1383,FELIPE ANICETO DE SOUZA,,Masculino,M3539,178,0:33:21,1:33:57,2:54:10,3:37:18,3:37:58,5:10
838,2353,FRANCIS HENRIQUE DOS SANTOS,TOP RUN,Feminino,F5054,5,0:36:37,1:41:49,3:02:22,3:37:24,3:38:49,5:11
839,1858,THIAGO TADEU JADIR,TTJ,Masculino,M3539,179,0:37:11,1:41:58,2:59:54,3:37:31,3:39:32,5:11
840,924,MARCELO NEVES CANDIDO DA PAIXAO,RUNNING CUIABA,Masculino,M4044,179,0:37:27,1:41:11,2:59:45,3:37:33,3:38:28,5:11
841,1957,GUSTAVO MIGUEL DA SILVA,ACORPA,Masculino,M2024,15,0:32:45,1:33:31,2:55:22,3:37:35,3:47:03,5:11
842,449,ELIETE BORGES ALVES,NAVEGA RUN,Feminino,F4549,11,0:33:27,1:38:38,3:00:39,3:37:41,3:38:04,5:11
843,1768,MARIANA RITA MARQUES,RF TREINAMENTO,Feminino,F4044,30,0:35:06,1:38:43,3:00:58,3:37:42,3:39:17,5:11
844,1000,CARLOS ELMIRO,ELITE MULTISPORT,Masculino,M5054,54,0:33:27,1:33:29,2:52:13,3:37:46,3:38:36,5:11
845,3483,RAFAEL GHISLENI,ATIVRUN,Masculino,M3539,180,0:37:15,1:42:15,3:02:12,3:37:52,3:39:55,5:11
846,1920,KECIA COSTA,BELIEVE AND RUN,Feminino,F4044,31,0:37:36,1:43:44,3:04:42,3:37:54,3:38:30,5:11
847,3632,ISABELLA DAL PIZZOL,PRETTO TREINAMENTO,Feminino,F2529,9,0:35:40,1:40:22,3:01:18,3:37:58,3:39:24,5:11
